aid,importance
607167149,0.0017064265331972464
949709221,0.0015075141101398592
693511618,0.0014914612028382832
949263559,0.0014912936595955547
264304125,0.0014911608297445318
736392280,0.001478730405243868
567065530,0.0014592576281276376
734451369,0.0014526721877807284
268587445,0.0014313459776361614
478608220,0.0014186269150169048
821963361,0.0013953818173495344
483163923,0.0013768896892003485
392559934,0.001365391315411248
949140221,0.001357225952624644
610164143,0.0013466690762485986
692560467,0.001337932792550082
441786248,0.0013362061515635553
863359652,0.0013303263150616018
991653085,0.0013219185490146391
437581772,0.0013080387959838809
